Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Adra;2021;Mujeres;Menores de 16 años;Inmigraciones;56;
Adra;2021;Mujeres;De 16 a 39 años;Inmigraciones;145;
Adra;2021;Mujeres;De 40 a 64 años;Inmigraciones;88;
Adra;2021;Mujeres;De 65 y más años;Inmigraciones;29;
Adra;2021;Mujeres;TOTAL;Inmigraciones;318;
Adra;2021;Ambos sexos;Menores de 16 años;Inmigraciones;118;
Adra;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;398;
Adra;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;171;
Adra;2021;Ambos sexos;De 65 y más años;Inmigraciones;59;
Adra;2021;Ambos sexos;TOTAL;Inmigraciones;746;
Albanchez;2019;Hombres;Menores de 16 años;Inmigraciones;2;
Albanchez;2019;Hombres;De 16 a 39 años;Inmigraciones;7;
Albanchez;2019;Hombres;De 40 a 64 años;Inmigraciones;12;
Albanchez;2019;Hombres;De 65 y más años;Inmigraciones;4;
Albanchez;2019;Hombres;TOTAL;Inmigraciones;25;
Albanchez;2019;Mujeres;Menores de 16 años;Inmigraciones;1;
Albanchez;2019;Mujeres;De 16 a 39 años;Inmigraciones;4;
Albanchez;2019;Mujeres;De 40 a 64 años;Inmigraciones;13;
Albanchez;2019;Mujeres;De 65 y más años;Inmigraciones;6;
Albanchez;2019;Mujeres;TOTAL;Inmigraciones;24;
Albanchez;2019;Ambos sexos;Menores de 16 años;Inmigraciones;3;
Albanchez;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;11;
Albanchez;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;25;
Albanchez;2019;Ambos sexos;De 65 y más años;Inmigraciones;10;
Albanchez;2019;Ambos sexos;TOTAL;Inmigraciones;49;
Albanchez;2020;Hombres;Menores de 16 años;Inmigraciones;5;
Albanchez;2020;Hombres;De 16 a 39 años;Inmigraciones;14;
Albanchez;2020;Hombres;De 40 a 64 años;Inmigraciones;16;
Albanchez;2020;Hombres;De 65 y más años;Inmigraciones;10;
Albanchez;2020;Hombres;TOTAL;Inmigraciones;45;
Albanchez;2020;Mujeres;Menores de 16 años;Inmigraciones;3;
Albanchez;2020;Mujeres;De 16 a 39 años;Inmigraciones;6;
Albanchez;2020;Mujeres;De 40 a 64 años;Inmigraciones;12;
Albanchez;2020;Mujeres;De 65 y más años;Inmigraciones;6;
Albanchez;2020;Mujeres;TOTAL;Inmigraciones;27;
Albanchez;2020;Ambos sexos;Menores de 16 años;Inmigraciones;8;
Albanchez;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;20;
Albanchez;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;28;
Albanchez;2020;Ambos sexos;De 65 y más años;Inmigraciones;16;
Albanchez;2020;Ambos sexos;TOTAL;Inmigraciones;72;
Albanchez;2021;Hombres;Menores de 16 años;Inmigraciones;2;
Albanchez;2021;Hombres;De 16 a 39 años;Inmigraciones;2;
Albanchez;2021;Hombres;De 40 a 64 años;Inmigraciones;9;
Albanchez;2021;Hombres;De 65 y más años;Inmigraciones;7;
Albanchez;2021;Hombres;TOTAL;Inmigraciones;20;
Albanchez;2021;Mujeres;Menores de 16 años;Inmigraciones;3;
Albanchez;2021;Mujeres;De 16 a 39 años;Inmigraciones;5;
Albanchez;2021;Mujeres;De 40 a 64 años;Inmigraciones;7;
Albanchez;2021;Mujeres;De 65 y más años;Inmigraciones;4;
Albanchez;2021;Mujeres;TOTAL;Inmigraciones;19;
Albanchez;2021;Ambos sexos;Menores de 16 años;Inmigraciones;5;
Albanchez;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;7;
Albanchez;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;16;
Albanchez;2021;Ambos sexos;De 65 y más años;Inmigraciones;11;
Albanchez;2021;Ambos sexos;TOTAL;Inmigraciones;39;
Alboloduy;2019;Hombres;Menores de 16 años;Inmigraciones;3;
Alboloduy;2019;Hombres;De 16 a 39 años;Inmigraciones;7;
Alboloduy;2019;Hombres;De 40 a 64 años;Inmigraciones;4;
Alboloduy;2019;Hombres;De 65 y más años;Inmigraciones;-;
Alboloduy;2019;Hombres;TOTAL;Inmigraciones;14;
Alboloduy;2019;Mujeres;Menores de 16 años;Inmigraciones;3;
Alboloduy;2019;Mujeres;De 16 a 39 años;Inmigraciones;8;
Alboloduy;2019;Mujeres;De 40 a 64 años;Inmigraciones;2;
Alboloduy;2019;Mujeres;De 65 y más años;Inmigraciones;1;
Alboloduy;2019;Mujeres;TOTAL;Inmigraciones;14;
Alboloduy;2019;Ambos sexos;Menores de 16 años;Inmigraciones;6;
Alboloduy;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;15;
Alboloduy;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;6;
Alboloduy;2019;Ambos sexos;De 65 y más años;Inmigraciones;1;
Alboloduy;2019;Ambos sexos;TOTAL;Inmigraciones;28;
Alboloduy;2020;Hombres;Menores de 16 años;Inmigraciones;4;
Alboloduy;2020;Hombres;De 16 a 39 años;Inmigraciones;4;
Alboloduy;2020;Hombres;De 40 a 64 años;Inmigraciones;4;
Alboloduy;2020;Hombres;De 65 y más años;Inmigraciones;2;
Alboloduy;2020;Hombres;TOTAL;Inmigraciones;14;
Alboloduy;2020;Mujeres;Menores de 16 años;Inmigraciones;3;
Alboloduy;2020;Mujeres;De 16 a 39 años;Inmigraciones;8;
Alboloduy;2020;Mujeres;De 40 a 64 años;Inmigraciones;7;
Alboloduy;2020;Mujeres;De 65 y más años;Inmigraciones;1;
Alboloduy;2020;Mujeres;TOTAL;Inmigraciones;19;
Alboloduy;2020;Ambos sexos;Menores de 16 años;Inmigraciones;7;
Alboloduy;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;12;
Alboloduy;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;11;
Alboloduy;2020;Ambos sexos;De 65 y más años;Inmigraciones;3;
Alboloduy;2020;Ambos sexos;TOTAL;Inmigraciones;33;
Alboloduy;2021;Hombres;Menores de 16 años;Inmigraciones;5;
Alboloduy;2021;Hombres;De 16 a 39 años;Inmigraciones;7;
Alboloduy;2021;Hombres;De 40 a 64 años;Inmigraciones;5;
Alboloduy;2021;Hombres;De 65 y más años;Inmigraciones;3;
Alboloduy;2021;Hombres;TOTAL;Inmigraciones;20;
Alboloduy;2021;Mujeres;Menores de 16 años;Inmigraciones;3;
Alboloduy;2021;Mujeres;De 16 a 39 años;Inmigraciones;8;
Alboloduy;2021;Mujeres;De 40 a 64 años;Inmigraciones;7;
Alboloduy;2021;Mujeres;De 65 y más años;Inmigraciones;1;
Alboloduy;2021;Mujeres;TOTAL;Inmigraciones;19;
Alboloduy;2021;Ambos sexos;Menores de 16 años;Inmigraciones;8;
Alboloduy;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;15;
Alboloduy;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;12;
Alboloduy;2021;Ambos sexos;De 65 y más años;Inmigraciones;4;
Alboloduy;2021;Ambos sexos;TOTAL;Inmigraciones;39;
Albox;2019;Hombres;Menores de 16 años;Inmigraciones;86;
Albox;2019;Hombres;De 16 a 39 años;Inmigraciones;173;
Albox;2019;Hombres;De 40 a 64 años;Inmigraciones;140;
Albox;2019;Hombres;De 65 y más años;Inmigraciones;45;
Albox;2019;Hombres;TOTAL;Inmigraciones;444;
Albox;2019;Mujeres;Menores de 16 años;Inmigraciones;71;
Albox;2019;Mujeres;De 16 a 39 años;Inmigraciones;146;
Albox;2019;Mujeres;De 40 a 64 años;Inmigraciones;129;
Albox;2019;Mujeres;De 65 y más años;Inmigraciones;40;
Albox;2019;Mujeres;TOTAL;Inmigraciones;386;
Albox;2019;Ambos sexos;Menores de 16 años;Inmigraciones;157;
Albox;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;319;
Albox;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;269;
Albox;2019;Ambos sexos;De 65 y más años;Inmigraciones;85;
Albox;2019;Ambos sexos;TOTAL;Inmigraciones;830;
Albox;2020;Hombres;Menores de 16 años;Inmigraciones;66;
Albox;2020;Hombres;De 16 a 39 años;Inmigraciones;167;
Albox;2020;Hombres;De 40 a 64 años;Inmigraciones;176;
Albox;2020;Hombres;De 65 y más años;Inmigraciones;48;
Albox;2020;Hombres;TOTAL;Inmigraciones;457;
Albox;2020;Mujeres;Menores de 16 años;Inmigraciones;62;
