Territorio;Características básicas de la explotación;Medida;Valor;
Arboleas;UGT;Aves corral;145,42;
Arboleas;UGT;Conejas madre;0;
Armuña de Almanzora;Nº explotaciones;Bovinos;0;
Armuña de Almanzora;Nº explotaciones;Ovinos;1;
Armuña de Almanzora;Nº explotaciones;Caprinos;1;
Armuña de Almanzora;Nº explotaciones;Porcinos;0;
Armuña de Almanzora;Nº explotaciones;Aves corral;0;
Armuña de Almanzora;Nº explotaciones;Conejas madre;0;
Armuña de Almanzora;Nº explotaciones;Colmenas;0;
Armuña de Almanzora;Cabezas;Equinos;0;
Armuña de Almanzora;Cabezas;Bovinos;0;
Armuña de Almanzora;Cabezas;Ovinos;200;
Armuña de Almanzora;Cabezas;Caprinos;7;
Armuña de Almanzora;Cabezas;Porcinos;0;
Armuña de Almanzora;Cabezas;Aves corral;0;
Armuña de Almanzora;Cabezas;Conejas madre;0;
Armuña de Almanzora;UGT;Colmenas;0;
Armuña de Almanzora;UGT;Equinos;0;
Armuña de Almanzora;UGT;Bovinos;0;
Armuña de Almanzora;UGT;Ovinos;20;
Armuña de Almanzora;UGT;Caprinos;0,7;
Armuña de Almanzora;UGT;Porcinos;0;
Armuña de Almanzora;UGT;Aves corral;0;
Armuña de Almanzora;UGT;Conejas madre;0;
Bacares;Nº explotaciones;Bovinos;0;
Bacares;Nº explotaciones;Ovinos;3;
Bacares;Nº explotaciones;Caprinos;1;
Bacares;Nº explotaciones;Porcinos;0;
Bacares;Nº explotaciones;Aves corral;0;
Bacares;Nº explotaciones;Conejas madre;0;
Bacares;Nº explotaciones;Colmenas;3;
Bacares;Cabezas;Equinos;0;
Bacares;Cabezas;Bovinos;0;
Bacares;Cabezas;Ovinos;1109;
Bacares;Cabezas;Caprinos;96;
Bacares;Cabezas;Porcinos;0;
Bacares;Cabezas;Aves corral;0;
Bacares;Cabezas;Conejas madre;0;
Bacares;UGT;Colmenas;125;
Bacares;UGT;Equinos;0;
Bacares;UGT;Bovinos;0;
Bacares;UGT;Ovinos;110,9;
Bacares;UGT;Caprinos;9,6;
Bacares;UGT;Porcinos;0;
Bacares;UGT;Aves corral;0;
Bacares;UGT;Conejas madre;0;
Balanegra;Nº explotaciones;Bovinos;0;
Balanegra;Nº explotaciones;Ovinos;3;
Balanegra;Nº explotaciones;Caprinos;3;
Balanegra;Nº explotaciones;Porcinos;0;
Balanegra;Nº explotaciones;Aves corral;0;
Balanegra;Nº explotaciones;Conejas madre;0;
Balanegra;Nº explotaciones;Colmenas;0;
Balanegra;Cabezas;Equinos;2;
Balanegra;Cabezas;Bovinos;0;
Balanegra;Cabezas;Ovinos;240;
Balanegra;Cabezas;Caprinos;592;
Balanegra;Cabezas;Porcinos;0;
Balanegra;Cabezas;Aves corral;0;
Balanegra;Cabezas;Conejas madre;0;
Balanegra;UGT;Colmenas;0;
Balanegra;UGT;Equinos;3;
Balanegra;UGT;Bovinos;0;
Balanegra;UGT;Ovinos;24;
Balanegra;UGT;Caprinos;59,2;
Balanegra;UGT;Porcinos;0;
Balanegra;UGT;Aves corral;0;
Balanegra;UGT;Conejas madre;0;
Bayárcal;Nº explotaciones;Bovinos;0;
Bayárcal;Nº explotaciones;Ovinos;4;
Bayárcal;Nº explotaciones;Caprinos;5;
Bayárcal;Nº explotaciones;Porcinos;0;
Bayárcal;Nº explotaciones;Aves corral;1;
Bayárcal;Nº explotaciones;Conejas madre;0;
Bayárcal;Nº explotaciones;Colmenas;0;
Bayárcal;Cabezas;Equinos;1;
Bayárcal;Cabezas;Bovinos;0;
Bayárcal;Cabezas;Ovinos;1639;
Bayárcal;Cabezas;Caprinos;387;
Bayárcal;Cabezas;Porcinos;0;
Bayárcal;Cabezas;Aves corral;6;
Bayárcal;Cabezas;Conejas madre;0;
Bayárcal;UGT;Colmenas;0;
Bayárcal;UGT;Equinos;3;
Bayárcal;UGT;Bovinos;0;
Bayárcal;UGT;Ovinos;163,9;
Bayárcal;UGT;Caprinos;38,7;
Bayárcal;UGT;Porcinos;0;
Bayárcal;UGT;Aves corral;0,084;
Bayárcal;UGT;Conejas madre;0;
Bayarque;Nº explotaciones;Bovinos;0;
Bayarque;Nº explotaciones;Ovinos;1;
Bayarque;Nº explotaciones;Caprinos;1;
Bayarque;Nº explotaciones;Porcinos;0;
Bayarque;Nº explotaciones;Aves corral;0;
Bayarque;Nº explotaciones;Conejas madre;0;
Bayarque;Nº explotaciones;Colmenas;1;
Bayarque;Cabezas;Equinos;1;
Bayarque;Cabezas;Bovinos;0;
Bayarque;Cabezas;Ovinos;319;
Bayarque;Cabezas;Caprinos;12;
Bayarque;Cabezas;Porcinos;0;
Bayarque;Cabezas;Aves corral;0;
Bayarque;Cabezas;Conejas madre;0;
Bayarque;UGT;Colmenas;15;
Bayarque;UGT;Equinos;1;
Bayarque;UGT;Bovinos;0;
Bayarque;UGT;Ovinos;31,9;
Bayarque;UGT;Caprinos;1,2;
Bayarque;UGT;Porcinos;0;
Bayarque;UGT;Aves corral;0;
Bayarque;UGT;Conejas madre;0;
Bédar;Nº explotaciones;Bovinos;0;
Bédar;Nº explotaciones;Ovinos;1;
Bédar;Nº explotaciones;Caprinos;6;
Bédar;Nº explotaciones;Porcinos;0;
Bédar;Nº explotaciones;Aves corral;1;
Bédar;Nº explotaciones;Conejas madre;0;
Bédar;Nº explotaciones;Colmenas;0;
Bédar;Cabezas;Equinos;2;
Bédar;Cabezas;Bovinos;0;
Bédar;Cabezas;Ovinos;927;
Bédar;Cabezas;Caprinos;3280;
Bédar;Cabezas;Porcinos;0;
Bédar;Cabezas;Aves corral;5;
Bédar;Cabezas;Conejas madre;0;
