Territorio;Tipo de entidad de credito;Medida;Valor;
Olula del Río;Sucursales comunitarias;Nº de oficinas;-;
Olula del Río;Establecimientos financieros de credito;Nº de oficinas;-;
Olula del Río;TOTAL;Nº de oficinas;3;
Oria;Bancos;Nº de oficinas;-;
Oria;Cooperativas de credito;Nº de oficinas;1;
Oria;Sucursales comunitarias;Nº de oficinas;-;
Oria;Establecimientos financieros de credito;Nº de oficinas;-;
Oria;TOTAL;Nº de oficinas;1;
Padules;Bancos;Nº de oficinas;-;
Padules;Cooperativas de credito;Nº de oficinas;1;
Padules;Sucursales comunitarias;Nº de oficinas;-;
Padules;Establecimientos financieros de credito;Nº de oficinas;-;
Padules;TOTAL;Nº de oficinas;1;
Partaloa;Bancos;Nº de oficinas;-;
Partaloa;Cooperativas de credito;Nº de oficinas;-;
Partaloa;Sucursales comunitarias;Nº de oficinas;-;
Partaloa;Establecimientos financieros de credito;Nº de oficinas;-;
Partaloa;TOTAL;Nº de oficinas;-;
Paterna del Río;Bancos;Nº de oficinas;-;
Paterna del Río;Cooperativas de credito;Nº de oficinas;1;
Paterna del Río;Sucursales comunitarias;Nº de oficinas;-;
Paterna del Río;Establecimientos financieros de credito;Nº de oficinas;-;
Paterna del Río;TOTAL;Nº de oficinas;1;
Pechina;Bancos;Nº de oficinas;-;
Pechina;Cooperativas de credito;Nº de oficinas;1;
Pechina;Sucursales comunitarias;Nº de oficinas;-;
Pechina;Establecimientos financieros de credito;Nº de oficinas;-;
Pechina;TOTAL;Nº de oficinas;1;
Pulpí;Bancos;Nº de oficinas;3;
Pulpí;Cooperativas de credito;Nº de oficinas;1;
Pulpí;Sucursales comunitarias;Nº de oficinas;-;
Pulpí;Establecimientos financieros de credito;Nº de oficinas;-;
Pulpí;TOTAL;Nº de oficinas;4;
Purchena;Bancos;Nº de oficinas;-;
Purchena;Cooperativas de credito;Nº de oficinas;1;
Purchena;Sucursales comunitarias;Nº de oficinas;-;
Purchena;Establecimientos financieros de credito;Nº de oficinas;-;
Purchena;TOTAL;Nº de oficinas;1;
Rágol;Bancos;Nº de oficinas;-;
Rágol;Cooperativas de credito;Nº de oficinas;-;
Rágol;Sucursales comunitarias;Nº de oficinas;-;
Rágol;Establecimientos financieros de credito;Nº de oficinas;-;
Rágol;TOTAL;Nº de oficinas;-;
Rioja;Bancos;Nº de oficinas;-;
Rioja;Cooperativas de credito;Nº de oficinas;1;
Rioja;Sucursales comunitarias;Nº de oficinas;-;
Rioja;Establecimientos financieros de credito;Nº de oficinas;-;
Rioja;TOTAL;Nº de oficinas;1;
Roquetas de Mar;Bancos;Nº de oficinas;16;
Roquetas de Mar;Cooperativas de credito;Nº de oficinas;10;
Roquetas de Mar;Sucursales comunitarias;Nº de oficinas;-;
Roquetas de Mar;Establecimientos financieros de credito;Nº de oficinas;-;
Roquetas de Mar;TOTAL;Nº de oficinas;26;
Santa Cruz de Marchena;Bancos;Nº de oficinas;-;
Santa Cruz de Marchena;Cooperativas de credito;Nº de oficinas;-;
Santa Cruz de Marchena;Sucursales comunitarias;Nº de oficinas;-;
Santa Cruz de Marchena;Establecimientos financieros de credito;Nº de oficinas;-;
Santa Cruz de Marchena;TOTAL;Nº de oficinas;-;
Santa Fe de Mondújar;Bancos;Nº de oficinas;-;
Santa Fe de Mondújar;Cooperativas de credito;Nº de oficinas;-;
Santa Fe de Mondújar;Sucursales comunitarias;Nº de oficinas;-;
Santa Fe de Mondújar;Establecimientos financieros de credito;Nº de oficinas;-;
Santa Fe de Mondújar;TOTAL;Nº de oficinas;-;
