Territorio;Medida;Valor;
Roquetas de Mar;Renta bruta media por hogar;35036;
Roquetas de Mar;Renta por unidad de consumo;16216;
Santa Cruz de Marchena;Renta neta media por persona;11562;
Santa Cruz de Marchena;Renta bruta media por persona;13514;
Santa Cruz de Marchena;Renta neta media por hogar;21497;
Santa Cruz de Marchena;Renta bruta media por hogar;25127;
Santa Cruz de Marchena;Renta por unidad de consumo;15973;
Santa Fe de Mondújar;Renta neta media por persona;9432;
Santa Fe de Mondújar;Renta bruta media por persona;10678;
Santa Fe de Mondújar;Renta neta media por hogar;22008;
Santa Fe de Mondújar;Renta bruta media por hogar;24913;
Santa Fe de Mondújar;Renta por unidad de consumo;13170;
Senés;Renta neta media por persona;13676;
Senés;Renta bruta media por persona;15949;
Senés;Renta neta media por hogar;24582;
Senés;Renta bruta media por hogar;28670;
Senés;Renta por unidad de consumo;18303;
Serón;Renta neta media por persona;12234;
Serón;Renta bruta media por persona;14270;
Serón;Renta neta media por hogar;26096;
Serón;Renta bruta media por hogar;30440;
Serón;Renta por unidad de consumo;17339;
Sierro;Renta neta media por persona;11754;
Sierro;Renta bruta media por persona;13531;
Sierro;Renta neta media por hogar;22831;
Sierro;Renta bruta media por hogar;26283;
Sierro;Renta por unidad de consumo;15823;
Somontín;Renta neta media por persona;11254;
Somontín;Renta bruta media por persona;13210;
Somontín;Renta neta media por hogar;27638;
Somontín;Renta bruta media por hogar;32441;
Somontín;Renta por unidad de consumo;16969;
Sorbas;Renta neta media por persona;9790;
Sorbas;Renta bruta media por persona;11173;
Sorbas;Renta neta media por hogar;23983;
Sorbas;Renta bruta media por hogar;27369;
Sorbas;Renta por unidad de consumo;14770;
Suflí;Renta neta media por persona;12431;
Suflí;Renta bruta media por persona;14566;
Suflí;Renta neta media por hogar;24863;
Suflí;Renta bruta media por hogar;29130;
Suflí;Renta por unidad de consumo;17027;
Tabernas;Renta neta media por persona;9788;
Tabernas;Renta bruta media por persona;11147;
Tabernas;Renta neta media por hogar;23550;
Tabernas;Renta bruta media por hogar;26823;
Tabernas;Renta por unidad de consumo;14477;
Taberno;Renta neta media por persona;9355;
Taberno;Renta bruta media por persona;10534;
Taberno;Renta neta media por hogar;21702;
Taberno;Renta bruta media por hogar;24437;
Taberno;Renta por unidad de consumo;14260;
Tahal;Renta neta media por persona;13050;
Tahal;Renta bruta media por persona;15159;
Tahal;Renta neta media por hogar;29166;
Tahal;Renta bruta media por hogar;33879;
Tahal;Renta por unidad de consumo;18645;
Terque;Renta neta media por persona;11316;
Terque;Renta bruta media por persona;12819;
Terque;Renta neta media por hogar;22517;
Terque;Renta bruta media por hogar;25508;
Terque;Renta por unidad de consumo;15479;
Tíjola;Renta neta media por persona;11513;
Tíjola;Renta bruta media por persona;13539;
Tíjola;Renta neta media por hogar;27108;
Tíjola;Renta bruta media por hogar;31876;
Tíjola;Renta por unidad de consumo;16782;
Turre;Renta neta media por persona;8719;
Turre;Renta bruta media por persona;10034;
Turre;Renta neta media por hogar;20914;
Turre;Renta bruta media por hogar;24069;
Turre;Renta por unidad de consumo;13369;
Turrillas;Renta neta media por persona;11954;
Turrillas;Renta bruta media por persona;13806;
Turrillas;Renta neta media por hogar;23908;
Turrillas;Renta bruta media por hogar;27612;
Turrillas;Renta por unidad de consumo;16405;
Uleila del Campo;Renta neta media por persona;9647;
Uleila del Campo;Renta bruta media por persona;10735;
Uleila del Campo;Renta neta media por hogar;22167;
Uleila del Campo;Renta bruta media por hogar;24668;
Uleila del Campo;Renta por unidad de consumo;14260;
Urrácal;Renta neta media por persona;12037;
Urrácal;Renta bruta media por persona;14150;
Urrácal;Renta neta media por hogar;26573;
Urrácal;Renta bruta media por hogar;31239;
Urrácal;Renta por unidad de consumo;17906;
Velefique;Renta neta media por persona;13965;
Velefique;Renta bruta media por persona;16044;
Velefique;Renta neta media por hogar;26984;
Velefique;Renta bruta media por hogar;31003;
Velefique;Renta por unidad de consumo;18897;
Vélez-Blanco;Renta neta media por persona;11060;
Vélez-Blanco;Renta bruta media por persona;12701;
Vélez-Blanco;Renta neta media por hogar;22922;
Vélez-Blanco;Renta bruta media por hogar;26322;
Vélez-Blanco;Renta por unidad de consumo;15650;
Vélez-Rubio;Renta neta media por persona;10619;
Vélez-Rubio;Renta bruta media por persona;12232;
Vélez-Rubio;Renta neta media por hogar;25883;
Vélez-Rubio;Renta bruta media por hogar;29814;
Vélez-Rubio;Renta por unidad de consumo;15841;
Vera;Renta neta media por persona;10201;
Vera;Renta bruta media por persona;12254;
Vera;Renta neta media por hogar;27482;
Vera;Renta bruta media por hogar;33013;
Vera;Renta por unidad de consumo;15909;
Viator;Renta neta media por persona;9650;
Viator;Renta bruta media por persona;11108;
Viator;Renta neta media por hogar;26679;
Viator;Renta bruta media por hogar;30711;
Viator;Renta por unidad de consumo;14927;
Vícar;Renta neta media por persona;8572;
Vícar;Renta bruta media por persona;9786;
Vícar;Renta neta media por hogar;25557;
Vícar;Renta bruta media por hogar;29178;
Vícar;Renta por unidad de consumo;13401;
Zurgena;Renta neta media por persona;9882;
Zurgena;Renta bruta media por persona;11195;
Zurgena;Renta neta media por hogar;22359;
Zurgena;Renta bruta media por hogar;25331;
Zurgena;Renta por unidad de consumo;14759;
Cádiz;Renta neta media por persona;11396;
Cádiz;Renta bruta media por persona;13476;
Cádiz;Renta neta media por hogar;30055;
Cádiz;Renta bruta media por hogar;35541;
Cádiz;Renta por unidad de consumo;17235;
Alcalá de los Gazules;Renta neta media por persona;10229;
Alcalá de los Gazules;Renta bruta media por persona;11827;
Alcalá de los Gazules;Renta neta media por hogar;25823;
Alcalá de los Gazules;Renta bruta media por hogar;29857;
Alcalá de los Gazules;Renta por unidad de consumo;15221;
Alcalá del Valle;Renta neta media por persona;9421;
Alcalá del Valle;Renta bruta media por persona;se;
Alcalá del Valle;Renta neta media por hogar;24741;
Alcalá del Valle;Renta bruta media por hogar;27557;
Alcalá del Valle;Renta por unidad de consumo;14200;
Algar;Renta neta media por persona;9838;
Algar;Renta bruta media por persona;11139;
Algar;Renta neta media por hogar;22101;
Algar;Renta bruta media por hogar;25024;
Algar;Renta por unidad de consumo;14260;
Algeciras;Renta neta media por persona;11724;
Algeciras;Renta bruta media por persona;14151;
Algeciras;Renta neta media por hogar;31919;
Algeciras;Renta bruta media por hogar;38526;
Algeciras;Renta por unidad de consumo;17892;
Algodonales;Renta neta media por persona;9668;
Algodonales;Renta bruta media por persona;10845;
Algodonales;Renta neta media por hogar;22473;
Algodonales;Renta bruta media por hogar;25208;
Algodonales;Renta por unidad de consumo;13890;
Arcos de la Frontera;Renta neta media por persona;9630;
Arcos de la Frontera;Renta bruta media por persona;10977;
Arcos de la Frontera;Renta neta media por hogar;25239;
Arcos de la Frontera;Renta bruta media por hogar;28767;
Arcos de la Frontera;Renta por unidad de consumo;14598;
Barbate;Renta neta media por persona;9563;
Barbate;Renta bruta media por persona;10887;
Barbate;Renta neta media por hogar;25221;
Barbate;Renta bruta media por hogar;28712;
Barbate;Renta por unidad de consumo;14411;
Benalup-Casas Viejas;Renta neta media por persona;9864;
Benalup-Casas Viejas;Renta bruta media por persona;11194;
Benalup-Casas Viejas;Renta neta media por hogar;24473;
Benalup-Casas Viejas;Renta bruta media por hogar;27773;
Benalup-Casas Viejas;Renta por unidad de consumo;14696;
Benaocaz;Renta neta media por persona;11772;
Benaocaz;Renta bruta media por persona;13826;
Benaocaz;Renta neta media por hogar;23412;
Benaocaz;Renta bruta media por hogar;27497;
Benaocaz;Renta por unidad de consumo;16350;
Bornos;Renta neta media por persona;9301;
Bornos;Renta bruta media por persona;10316;
Bornos;Renta neta media por hogar;22696;
Bornos;Renta bruta media por hogar;25170;
Bornos;Renta por unidad de consumo;13622;
Cádiz (capital);Renta neta media por persona;14432;
Cádiz (capital);Renta bruta media por persona;17455;
Cádiz (capital);Renta neta media por hogar;35110;
Cádiz (capital);Renta bruta media por hogar;42465;
Cádiz (capital);Renta por unidad de consumo;21177;
Castellar de la Frontera;Renta neta media por persona;10827;
Castellar de la Frontera;Renta bruta media por persona;12671;
Castellar de la Frontera;Renta neta media por hogar;29585;
Castellar de la Frontera;Renta bruta media por hogar;34626;
Castellar de la Frontera;Renta por unidad de consumo;16675;
Chiclana de la Frontera;Renta neta media por persona;10713;
Chiclana de la Frontera;Renta bruta media por persona;12665;
Chiclana de la Frontera;Renta neta media por hogar;29215;
Chiclana de la Frontera;Renta bruta media por hogar;34541;
