Territorio;Nacionalidad;Medida;Valor;
Canjáyar;Resto Asia;Inmigraciones ;-;
Canjáyar;Oceanía;Inmigraciones ;-;
Canjáyar;Apátridas;Inmigraciones ;-;
Canjáyar;TOTAL;Inmigraciones ;9;
Cantoria;Española;Inmigraciones ;5;
Cantoria;Extranjera;Inmigraciones ;128;
Cantoria;Europa;Inmigraciones ;77;
Cantoria;UE27;Inmigraciones ;39;
Cantoria;Resto de Europa;Inmigraciones ;38;
Cantoria;África;Inmigraciones ;6;
Cantoria;África Norte;Inmigraciones ;6;
Cantoria;Sub-Sahara;Inmigraciones ;-;
Cantoria;Resto África;Inmigraciones ;-;
Cantoria;América;Inmigraciones ;44;
Cantoria;América Norte;Inmigraciones ;-;
Cantoria;Central-Caribe;Inmigraciones ;2;
Cantoria;América Sur;Inmigraciones ;42;
Cantoria;Asia;Inmigraciones ;1;
Cantoria;Próximo Oriente;Inmigraciones ;1;
Cantoria;Resto Asia;Inmigraciones ;-;
Cantoria;Oceanía;Inmigraciones ;-;
Cantoria;Apátridas;Inmigraciones ;-;
Cantoria;TOTAL;Inmigraciones ;133;
Carboneras;Española;Inmigraciones ;13;
