Territorio;Tipo de instalación;Medida;Valor;
Albox;Juegos tradicionales y populares;Espacios deportivos;-;
Albox;Circuitos de karting;Espacios deportivos;-;
Albox;Circuitos de motocross;Espacios deportivos;1;
Albox;Rocódromos;Espacios deportivos;-;
Albox;Pistas de esquí;Espacios deportivos;-;
Albox;Campos de tiro;Espacios deportivos;-;
Albox;Otros espacios singulares;Espacios deportivos;-;
Albox;Áreas de actividad acuática;Espacios deportivos;-;
Albox;Áreas de actividad aérea;Espacios deportivos;1;
Albox;Áreas de actividad terrestre;Espacios deportivos;-;
Albox;Total;Espacios deportivos;44;
Alcolea;Campos de fútbol;Espacios deportivos;-;
Alcolea;Espacios pequeños y no reglamentarios;Espacios deportivos;1;
Alcolea;Frontones;Espacios deportivos;-;
Alcolea;Otros campos;Espacios deportivos;-;
Alcolea;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Alcolea;Polideportivos;Espacios deportivos;-;
Alcolea;Piscinas aire libre;Espacios deportivos;1;
Alcolea;Piscinas cubiertas;Espacios deportivos;-;
Alcolea;Pistas de atletismo;Espacios deportivos;-;
Alcolea;Pistas de padel;Espacios deportivos;-;
Alcolea;Pistas de petanca;Espacios deportivos;-;
Alcolea;Pistas de squash;Espacios deportivos;-;
Alcolea;Pistas de tenis;Espacios deportivos;-;
Alcolea;Pistas polideportivas;Espacios deportivos;2;
Alcolea;Salas;Espacios deportivos;-;
Alcolea;Velódromos;Espacios deportivos;-;
Alcolea;Otros espacios convencionales;Espacios deportivos;-;
Alcolea;Carriles de bicicleta;Espacios deportivos;-;
Alcolea;Circuitos de velocidad;Espacios deportivos;-;
Alcolea;Campos de golf;Espacios deportivos;-;
Alcolea;Pistas de hípica;Espacios deportivos;-;
Alcolea;Juegos tradicionales y populares;Espacios deportivos;-;
Alcolea;Circuitos de karting;Espacios deportivos;-;
Alcolea;Circuitos de motocross;Espacios deportivos;-;
Alcolea;Rocódromos;Espacios deportivos;-;
Alcolea;Pistas de esquí;Espacios deportivos;-;
Alcolea;Campos de tiro;Espacios deportivos;-;
Alcolea;Otros espacios singulares;Espacios deportivos;-;
Alcolea;Áreas de actividad acuática;Espacios deportivos;-;
Alcolea;Áreas de actividad aérea;Espacios deportivos;-;
Alcolea;Áreas de actividad terrestre;Espacios deportivos;-;
Alcolea;Total;Espacios deportivos;4;
Alcóntar;Campos de fútbol;Espacios deportivos;-;
Alcóntar;Espacios pequeños y no reglamentarios;Espacios deportivos;1;
Alcóntar;Frontones;Espacios deportivos;-;
Alcóntar;Otros campos;Espacios deportivos;-;
Alcóntar;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Alcóntar;Polideportivos;Espacios deportivos;-;
Alcóntar;Piscinas aire libre;Espacios deportivos;2;
Alcóntar;Piscinas cubiertas;Espacios deportivos;-;
Alcóntar;Pistas de atletismo;Espacios deportivos;-;
Alcóntar;Pistas de padel;Espacios deportivos;-;
Alcóntar;Pistas de petanca;Espacios deportivos;-;
Alcóntar;Pistas de squash;Espacios deportivos;-;
Alcóntar;Pistas de tenis;Espacios deportivos;-;
Alcóntar;Pistas polideportivas;Espacios deportivos;2;
Alcóntar;Salas;Espacios deportivos;-;
Alcóntar;Velódromos;Espacios deportivos;-;
Alcóntar;Otros espacios convencionales;Espacios deportivos;-;
Alcóntar;Carriles de bicicleta;Espacios deportivos;-;
Alcóntar;Circuitos de velocidad;Espacios deportivos;-;
Alcóntar;Campos de golf;Espacios deportivos;-;
Alcóntar;Pistas de hípica;Espacios deportivos;-;
Alcóntar;Juegos tradicionales y populares;Espacios deportivos;-;
Alcóntar;Circuitos de karting;Espacios deportivos;-;
Alcóntar;Circuitos de motocross;Espacios deportivos;-;
Alcóntar;Rocódromos;Espacios deportivos;-;
Alcóntar;Pistas de esquí;Espacios deportivos;-;
Alcóntar;Campos de tiro;Espacios deportivos;-;
Alcóntar;Otros espacios singulares;Espacios deportivos;-;
Alcóntar;Áreas de actividad acuática;Espacios deportivos;-;
Alcóntar;Áreas de actividad aérea;Espacios deportivos;-;
Alcóntar;Áreas de actividad terrestre;Espacios deportivos;-;
Alcóntar;Total;Espacios deportivos;5;
Alcudia de Monteagud;Campos de fútbol;Espacios deportivos;-;
Alcudia de Monteagud;Espacios pequeños y no reglamentarios;Espacios deportivos;-;
Alcudia de Monteagud;Frontones;Espacios deportivos;-;
Alcudia de Monteagud;Otros campos;Espacios deportivos;-;
Alcudia de Monteagud;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Alcudia de Monteagud;Polideportivos;Espacios deportivos;-;
Alcudia de Monteagud;Piscinas aire libre;Espacios deportivos;-;
Alcudia de Monteagud;Piscinas cubiertas;Espacios deportivos;-;
Alcudia de Monteagud;Pistas de atletismo;Espacios deportivos;-;
Alcudia de Monteagud;Pistas de padel;Espacios deportivos;-;
Alcudia de Monteagud;Pistas de petanca;Espacios deportivos;-;
Alcudia de Monteagud;Pistas de squash;Espacios deportivos;-;
Alcudia de Monteagud;Pistas de tenis;Espacios deportivos;-;
Alcudia de Monteagud;Pistas polideportivas;Espacios deportivos;-;
Alcudia de Monteagud;Salas;Espacios deportivos;-;
Alcudia de Monteagud;Velódromos;Espacios deportivos;-;
Alcudia de Monteagud;Otros espacios convencionales;Espacios deportivos;-;
Alcudia de Monteagud;Carriles de bicicleta;Espacios deportivos;-;
Alcudia de Monteagud;Circuitos de velocidad;Espacios deportivos;-;
Alcudia de Monteagud;Campos de golf;Espacios deportivos;-;
Alcudia de Monteagud;Pistas de hípica;Espacios deportivos;-;
Alcudia de Monteagud;Juegos tradicionales y populares;Espacios deportivos;-;
Alcudia de Monteagud;Circuitos de karting;Espacios deportivos;-;
Alcudia de Monteagud;Circuitos de motocross;Espacios deportivos;-;
Alcudia de Monteagud;Rocódromos;Espacios deportivos;-;
Alcudia de Monteagud;Pistas de esquí;Espacios deportivos;-;
Alcudia de Monteagud;Campos de tiro;Espacios deportivos;-;
Alcudia de Monteagud;Otros espacios singulares;Espacios deportivos;-;
Alcudia de Monteagud;Áreas de actividad acuática;Espacios deportivos;-;
Alcudia de Monteagud;Áreas de actividad aérea;Espacios deportivos;-;
Alcudia de Monteagud;Áreas de actividad terrestre;Espacios deportivos;-;
Alcudia de Monteagud;Total;Espacios deportivos;-;
Alhabia;Campos de fútbol;Espacios deportivos;-;
Alhabia;Espacios pequeños y no reglamentarios;Espacios deportivos;2;
Alhabia;Frontones;Espacios deportivos;1;
Alhabia;Otros campos;Espacios deportivos;-;
Alhabia;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Alhabia;Polideportivos;Espacios deportivos;-;
Alhabia;Piscinas aire libre;Espacios deportivos;1;
Alhabia;Piscinas cubiertas;Espacios deportivos;-;
Alhabia;Pistas de atletismo;Espacios deportivos;-;
Alhabia;Pistas de padel;Espacios deportivos;-;
Alhabia;Pistas de petanca;Espacios deportivos;-;
Alhabia;Pistas de squash;Espacios deportivos;-;
Alhabia;Pistas de tenis;Espacios deportivos;-;
Alhabia;Pistas polideportivas;Espacios deportivos;-;
Alhabia;Salas;Espacios deportivos;-;
Alhabia;Velódromos;Espacios deportivos;-;
Alhabia;Otros espacios convencionales;Espacios deportivos;-;
Alhabia;Carriles de bicicleta;Espacios deportivos;-;
Alhabia;Circuitos de velocidad;Espacios deportivos;-;
Alhabia;Campos de golf;Espacios deportivos;-;
Alhabia;Pistas de hípica;Espacios deportivos;-;
Alhabia;Juegos tradicionales y populares;Espacios deportivos;-;
Alhabia;Circuitos de karting;Espacios deportivos;-;
Alhabia;Circuitos de motocross;Espacios deportivos;-;
Alhabia;Rocódromos;Espacios deportivos;-;
Alhabia;Pistas de esquí;Espacios deportivos;-;
Alhabia;Campos de tiro;Espacios deportivos;-;
Alhabia;Otros espacios singulares;Espacios deportivos;-;
Alhabia;Áreas de actividad acuática;Espacios deportivos;-;
Alhabia;Áreas de actividad aérea;Espacios deportivos;-;
Alhabia;Áreas de actividad terrestre;Espacios deportivos;-;
Alhabia;Total;Espacios deportivos;4;
Alhama de Almería;Campos de fútbol;Espacios deportivos;-;
Alhama de Almería;Espacios pequeños y no reglamentarios;Espacios deportivos;2;
Alhama de Almería;Frontones;Espacios deportivos;-;
Alhama de Almería;Otros campos;Espacios deportivos;-;
Alhama de Almería;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;1;
Alhama de Almería;Polideportivos;Espacios deportivos;1;
Alhama de Almería;Piscinas aire libre;Espacios deportivos;1;
Alhama de Almería;Piscinas cubiertas;Espacios deportivos;-;
Alhama de Almería;Pistas de atletismo;Espacios deportivos;-;
Alhama de Almería;Pistas de padel;Espacios deportivos;-;
Alhama de Almería;Pistas de petanca;Espacios deportivos;-;
Alhama de Almería;Pistas de squash;Espacios deportivos;-;
Alhama de Almería;Pistas de tenis;Espacios deportivos;-;
Alhama de Almería;Pistas polideportivas;Espacios deportivos;4;
Alhama de Almería;Salas;Espacios deportivos;-;
Alhama de Almería;Velódromos;Espacios deportivos;-;
Alhama de Almería;Otros espacios convencionales;Espacios deportivos;-;
Alhama de Almería;Carriles de bicicleta;Espacios deportivos;-;
Alhama de Almería;Circuitos de velocidad;Espacios deportivos;-;
Alhama de Almería;Campos de golf;Espacios deportivos;-;
Alhama de Almería;Pistas de hípica;Espacios deportivos;-;
Alhama de Almería;Juegos tradicionales y populares;Espacios deportivos;-;
Alhama de Almería;Circuitos de karting;Espacios deportivos;-;
Alhama de Almería;Circuitos de motocross;Espacios deportivos;-;
Alhama de Almería;Rocódromos;Espacios deportivos;-;
Alhama de Almería;Pistas de esquí;Espacios deportivos;-;
Alhama de Almería;Campos de tiro;Espacios deportivos;-;
Alhama de Almería;Otros espacios singulares;Espacios deportivos;-;
Alhama de Almería;Áreas de actividad acuática;Espacios deportivos;-;
Alhama de Almería;Áreas de actividad aérea;Espacios deportivos;-;
Alhama de Almería;Áreas de actividad terrestre;Espacios deportivos;-;
Alhama de Almería;Total;Espacios deportivos;9;
Alicún;Campos de fútbol;Espacios deportivos;-;
Alicún;Espacios pequeños y no reglamentarios;Espacios deportivos;1;
Alicún;Frontones;Espacios deportivos;-;
Alicún;Otros campos;Espacios deportivos;-;
Alicún;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Alicún;Polideportivos;Espacios deportivos;-;
Alicún;Piscinas aire libre;Espacios deportivos;-;
Alicún;Piscinas cubiertas;Espacios deportivos;-;
Alicún;Pistas de atletismo;Espacios deportivos;-;
Alicún;Pistas de padel;Espacios deportivos;-;
Alicún;Pistas de petanca;Espacios deportivos;-;
Alicún;Pistas de squash;Espacios deportivos;-;
Alicún;Pistas de tenis;Espacios deportivos;-;
Alicún;Pistas polideportivas;Espacios deportivos;1;
Alicún;Salas;Espacios deportivos;-;
Alicún;Velódromos;Espacios deportivos;-;
Alicún;Otros espacios convencionales;Espacios deportivos;-;
Alicún;Carriles de bicicleta;Espacios deportivos;-;
Alicún;Circuitos de velocidad;Espacios deportivos;-;
Alicún;Campos de golf;Espacios deportivos;-;
Alicún;Pistas de hípica;Espacios deportivos;-;
Alicún;Juegos tradicionales y populares;Espacios deportivos;-;
Alicún;Circuitos de karting;Espacios deportivos;-;
Alicún;Circuitos de motocross;Espacios deportivos;-;
Alicún;Rocódromos;Espacios deportivos;-;
Alicún;Pistas de esquí;Espacios deportivos;-;
Alicún;Campos de tiro;Espacios deportivos;-;
Alicún;Otros espacios singulares;Espacios deportivos;-;
Alicún;Áreas de actividad acuática;Espacios deportivos;-;
Alicún;Áreas de actividad aérea;Espacios deportivos;-;
Alicún;Áreas de actividad terrestre;Espacios deportivos;-;
Alicún;Total;Espacios deportivos;2;
Almería (capital);Campos de fútbol;Espacios deportivos;13;
Almería (capital);Espacios pequeños y no reglamentarios;Espacios deportivos;75;
Almería (capital);Frontones;Espacios deportivos;1;
Almería (capital);Otros campos;Espacios deportivos;3;
Almería (capital);Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;2;
Almería (capital);Polideportivos;Espacios deportivos;9;
Almería (capital);Piscinas aire libre;Espacios deportivos;46;
Almería (capital);Piscinas cubiertas;Espacios deportivos;7;
Almería (capital);Pistas de atletismo;Espacios deportivos;3;
Almería (capital);Pistas de padel;Espacios deportivos;9;
Almería (capital);Pistas de petanca;Espacios deportivos;-;
Almería (capital);Pistas de squash;Espacios deportivos;8;
Almería (capital);Pistas de tenis;Espacios deportivos;18;
Almería (capital);Pistas polideportivas;Espacios deportivos;143;
Almería (capital);Salas;Espacios deportivos;97;
Almería (capital);Velódromos;Espacios deportivos;-;
Almería (capital);Otros espacios convencionales;Espacios deportivos;1;
Almería (capital);Carriles de bicicleta;Espacios deportivos;-;
Almería (capital);Circuitos de velocidad;Espacios deportivos;-;
Almería (capital);Campos de golf;Espacios deportivos;-;
Almería (capital);Pistas de hípica;Espacios deportivos;4;
Almería (capital);Juegos tradicionales y populares;Espacios deportivos;-;
Almería (capital);Circuitos de karting;Espacios deportivos;-;
Almería (capital);Circuitos de motocross;Espacios deportivos;-;
Almería (capital);Rocódromos;Espacios deportivos;-;
Almería (capital);Pistas de esquí;Espacios deportivos;-;
Almería (capital);Campos de tiro;Espacios deportivos;2;
Almería (capital);Otros espacios singulares;Espacios deportivos;4;
Almería (capital);Áreas de actividad acuática;Espacios deportivos;2;
Almería (capital);Áreas de actividad aérea;Espacios deportivos;-;
Almería (capital);Áreas de actividad terrestre;Espacios deportivos;-;
Almería (capital);Total;Espacios deportivos;447;
Almócita;Campos de fútbol;Espacios deportivos;-;
Almócita;Espacios pequeños y no reglamentarios;Espacios deportivos;-;
Almócita;Frontones;Espacios deportivos;-;
Almócita;Otros campos;Espacios deportivos;-;
Almócita;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Almócita;Polideportivos;Espacios deportivos;-;
Almócita;Piscinas aire libre;Espacios deportivos;2;
Almócita;Piscinas cubiertas;Espacios deportivos;-;
Almócita;Pistas de atletismo;Espacios deportivos;-;
Almócita;Pistas de padel;Espacios deportivos;-;
Almócita;Pistas de petanca;Espacios deportivos;-;
Almócita;Pistas de squash;Espacios deportivos;-;
Almócita;Pistas de tenis;Espacios deportivos;-;
Almócita;Pistas polideportivas;Espacios deportivos;-;
Almócita;Salas;Espacios deportivos;-;
Almócita;Velódromos;Espacios deportivos;-;
Almócita;Otros espacios convencionales;Espacios deportivos;-;
Almócita;Carriles de bicicleta;Espacios deportivos;-;
Almócita;Circuitos de velocidad;Espacios deportivos;-;
Almócita;Campos de golf;Espacios deportivos;-;
Almócita;Pistas de hípica;Espacios deportivos;-;
Almócita;Juegos tradicionales y populares;Espacios deportivos;-;
Almócita;Circuitos de karting;Espacios deportivos;-;
Almócita;Circuitos de motocross;Espacios deportivos;-;
Almócita;Rocódromos;Espacios deportivos;-;
Almócita;Pistas de esquí;Espacios deportivos;-;
Almócita;Campos de tiro;Espacios deportivos;-;
Almócita;Otros espacios singulares;Espacios deportivos;-;
Almócita;Áreas de actividad acuática;Espacios deportivos;-;
Almócita;Áreas de actividad aérea;Espacios deportivos;-;
Almócita;Áreas de actividad terrestre;Espacios deportivos;-;
Almócita;Total;Espacios deportivos;2;
Alsodux;Campos de fútbol;Espacios deportivos;-;
Alsodux;Espacios pequeños y no reglamentarios;Espacios deportivos;-;
Alsodux;Frontones;Espacios deportivos;-;
Alsodux;Otros campos;Espacios deportivos;-;
Alsodux;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Alsodux;Polideportivos;Espacios deportivos;-;
Alsodux;Piscinas aire libre;Espacios deportivos;-;
