Territorio;Medida;Contratos según tipo de jornada;Sexo;Valor;
Alhama de Almería;Contratos;Temporales jornada completa;Mujeres;151;
Alhama de Almería;Contratos;Temporales jornada completa;Ambos sexos;246;
Alhama de Almería;Contratos;Temporales jornada parcial;Hombres;20;
Alhama de Almería;Contratos;Temporales jornada parcial;Mujeres;39;
Alhama de Almería;Contratos;Temporales jornada parcial;Ambos sexos;59;
Alhama de Almería;Contratos;No especificado;Hombres;-;
Alhama de Almería;Contratos;No especificado;Mujeres;-;
Alhama de Almería;Contratos;No especificado;Ambos sexos;-;
Alhama de Almería;Contratos;TOTAL;Hombres;417;
Alhama de Almería;Contratos;TOTAL;Mujeres;322;
Alhama de Almería;Contratos;TOTAL;Ambos sexos;739;
Alicún;Contratos;Contratos Indefinidos;Hombres;2;
Alicún;Contratos;Contratos Indefinidos;Mujeres;3;
Alicún;Contratos;Contratos Indefinidos;Ambos sexos;5;
Alicún;Contratos;Indefinidos jornada completa;Hombres;2;
Alicún;Contratos;Indefinidos jornada completa;Mujeres;-;
Alicún;Contratos;Indefinidos jornada completa;Ambos sexos;2;
Alicún;Contratos;Indefinidos jornada parcial;Hombres;-;
Alicún;Contratos;Indefinidos jornada parcial;Mujeres;1;
Alicún;Contratos;Indefinidos jornada parcial;Ambos sexos;1;
Alicún;Contratos;Indefinidos fijo discontinuo;Hombres;-;
Alicún;Contratos;Indefinidos fijo discontinuo;Mujeres;2;
Alicún;Contratos;Indefinidos fijo discontinuo;Ambos sexos;2;
Alicún;Contratos;Contratos Temporales;Hombres;23;
Alicún;Contratos;Contratos Temporales;Mujeres;9;
Alicún;Contratos;Contratos Temporales;Ambos sexos;32;
Alicún;Contratos;Temporales jornada completa;Hombres;23;
Alicún;Contratos;Temporales jornada completa;Mujeres;7;
Alicún;Contratos;Temporales jornada completa;Ambos sexos;30;
Alicún;Contratos;Temporales jornada parcial;Hombres;-;
Alicún;Contratos;Temporales jornada parcial;Mujeres;2;
Alicún;Contratos;Temporales jornada parcial;Ambos sexos;2;
Alicún;Contratos;No especificado;Hombres;1;
Alicún;Contratos;No especificado;Mujeres;-;
Alicún;Contratos;No especificado;Ambos sexos;1;
Alicún;Contratos;TOTAL;Hombres;26;
Alicún;Contratos;TOTAL;Mujeres;12;
Alicún;Contratos;TOTAL;Ambos sexos;38;
Almería (capital);Contratos;Contratos Indefinidos;Hombres;17333;
Almería (capital);Contratos;Contratos Indefinidos;Mujeres;12495;
Almería (capital);Contratos;Contratos Indefinidos;Ambos sexos;29828;
Almería (capital);Contratos;Indefinidos jornada completa;Hombres;6278;
Almería (capital);Contratos;Indefinidos jornada completa;Mujeres;2885;
Almería (capital);Contratos;Indefinidos jornada completa;Ambos sexos;9163;
Almería (capital);Contratos;Indefinidos jornada parcial;Hombres;3635;
Almería (capital);Contratos;Indefinidos jornada parcial;Mujeres;4889;
Almería (capital);Contratos;Indefinidos jornada parcial;Ambos sexos;8524;
Almería (capital);Contratos;Indefinidos fijo discontinuo;Hombres;7420;
Almería (capital);Contratos;Indefinidos fijo discontinuo;Mujeres;4721;
Almería (capital);Contratos;Indefinidos fijo discontinuo;Ambos sexos;12141;
Almería (capital);Contratos;Contratos Temporales;Hombres;16031;
Almería (capital);Contratos;Contratos Temporales;Mujeres;19431;
Almería (capital);Contratos;Contratos Temporales;Ambos sexos;35462;
Almería (capital);Contratos;Temporales jornada completa;Hombres;10951;
Almería (capital);Contratos;Temporales jornada completa;Mujeres;8588;
Almería (capital);Contratos;Temporales jornada completa;Ambos sexos;19539;
Almería (capital);Contratos;Temporales jornada parcial;Hombres;5080;
Almería (capital);Contratos;Temporales jornada parcial;Mujeres;10843;
Almería (capital);Contratos;Temporales jornada parcial;Ambos sexos;15923;
Almería (capital);Contratos;No especificado;Hombres;186;
Almería (capital);Contratos;No especificado;Mujeres;152;
Almería (capital);Contratos;No especificado;Ambos sexos;338;
Almería (capital);Contratos;TOTAL;Hombres;33550;
Almería (capital);Contratos;TOTAL;Mujeres;32078;
Almería (capital);Contratos;TOTAL;Ambos sexos;65628;
Almócita;Contratos;Contratos Indefinidos;Hombres;2;
Almócita;Contratos;Contratos Indefinidos;Mujeres;2;
Almócita;Contratos;Contratos Indefinidos;Ambos sexos;4;
Almócita;Contratos;Indefinidos jornada completa;Hombres;-;
Almócita;Contratos;Indefinidos jornada completa;Mujeres;-;
Almócita;Contratos;Indefinidos jornada completa;Ambos sexos;-;
Almócita;Contratos;Indefinidos jornada parcial;Hombres;-;
Almócita;Contratos;Indefinidos jornada parcial;Mujeres;-;
Almócita;Contratos;Indefinidos jornada parcial;Ambos sexos;-;
Almócita;Contratos;Indefinidos fijo discontinuo;Hombres;2;
Almócita;Contratos;Indefinidos fijo discontinuo;Mujeres;2;
Almócita;Contratos;Indefinidos fijo discontinuo;Ambos sexos;4;
Almócita;Contratos;Contratos Temporales;Hombres;37;
Almócita;Contratos;Contratos Temporales;Mujeres;18;
Almócita;Contratos;Contratos Temporales;Ambos sexos;55;
Almócita;Contratos;Temporales jornada completa;Hombres;35;
Almócita;Contratos;Temporales jornada completa;Mujeres;16;
Almócita;Contratos;Temporales jornada completa;Ambos sexos;51;
Almócita;Contratos;Temporales jornada parcial;Hombres;2;
Almócita;Contratos;Temporales jornada parcial;Mujeres;2;
Almócita;Contratos;Temporales jornada parcial;Ambos sexos;4;
Almócita;Contratos;No especificado;Hombres;-;
Almócita;Contratos;No especificado;Mujeres;-;
Almócita;Contratos;No especificado;Ambos sexos;-;
Almócita;Contratos;TOTAL;Hombres;39;
Almócita;Contratos;TOTAL;Mujeres;20;
Almócita;Contratos;TOTAL;Ambos sexos;59;
Alsodux;Contratos;Contratos Indefinidos;Hombres;-;
Alsodux;Contratos;Contratos Indefinidos;Mujeres;-;
Alsodux;Contratos;Contratos Indefinidos;Ambos sexos;-;
Alsodux;Contratos;Indefinidos jornada completa;Hombres;-;
Alsodux;Contratos;Indefinidos jornada completa;Mujeres;-;
Alsodux;Contratos;Indefinidos jornada completa;Ambos sexos;-;
Alsodux;Contratos;Indefinidos jornada parcial;Hombres;-;
Alsodux;Contratos;Indefinidos jornada parcial;Mujeres;-;
Alsodux;Contratos;Indefinidos jornada parcial;Ambos sexos;-;
Alsodux;Contratos;Indefinidos fijo discontinuo;Hombres;-;
