Territorio;Actividad;Medida;Valor;
Canjáyar;Industria, energía, agua y gestión de residuos;Establecimientos;6;
Canjáyar;Construcción;Establecimientos;11;
Canjáyar;Comercio;Establecimientos;18;
Canjáyar;Transporte y almacenamiento;Establecimientos;6;
Canjáyar;Hostelería;Establecimientos;7;
Canjáyar;Información y comunicaciones;Establecimientos;1;
Canjáyar;Banca y seguros;Establecimientos;2;
Canjáyar;Administración pública, educación y sanidad;Establecimientos;8;
Canjáyar;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;15;
Canjáyar;TOTAL;Establecimientos;87;
Cantoria;Agricultura, ganadería, silvicultura y pesca;Establecimientos;25;
Cantoria;Industria, energía, agua y gestión de residuos;Establecimientos;39;
Cantoria;Construcción;Establecimientos;58;
Cantoria;Comercio;Establecimientos;53;
Cantoria;Transporte y almacenamiento;Establecimientos;23;
Cantoria;Hostelería;Establecimientos;15;
Cantoria;Información y comunicaciones;Establecimientos;4;
Cantoria;Banca y seguros;Establecimientos;9;
Cantoria;Administración pública, educación y sanidad;Establecimientos;17;
Cantoria;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;52;
Cantoria;TOTAL;Establecimientos;295;
Carboneras;Agricultura, ganadería, silvicultura y pesca;Establecimientos;99;
Carboneras;Industria, energía, agua y gestión de residuos;Establecimientos;30;
Carboneras;Construcción;Establecimientos;76;
Carboneras;Comercio;Establecimientos;151;
Carboneras;Transporte y almacenamiento;Establecimientos;58;
Carboneras;Hostelería;Establecimientos;80;
Carboneras;Información y comunicaciones;Establecimientos;5;
Carboneras;Banca y seguros;Establecimientos;11;
Carboneras;Administración pública, educación y sanidad;Establecimientos;43;
Carboneras;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;157;
Carboneras;TOTAL;Establecimientos;710;
Castro de Filabres;Agricultura, ganadería, silvicultura y pesca;Establecimientos;-;
Castro de Filabres;Industria, energía, agua y gestión de residuos;Establecimientos;-;
Castro de Filabres;Construcción;Establecimientos;1;
Castro de Filabres;Comercio;Establecimientos;-;
Castro de Filabres;Transporte y almacenamiento;Establecimientos;2;
Castro de Filabres;Hostelería;Establecimientos;1;
Castro de Filabres;Información y comunicaciones;Establecimientos;-;
Castro de Filabres;Banca y seguros;Establecimientos;-;
Castro de Filabres;Administración pública, educación y sanidad;Establecimientos;3;
Castro de Filabres;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;2;
Castro de Filabres;TOTAL;Establecimientos;9;
Chercos;Agricultura, ganadería, silvicultura y pesca;Establecimientos;2;
Chercos;Industria, energía, agua y gestión de residuos;Establecimientos;4;
Chercos;Construcción;Establecimientos;4;
Chercos;Comercio;Establecimientos;5;
Chercos;Transporte y almacenamiento;Establecimientos;1;
Chercos;Hostelería;Establecimientos;3;
Chercos;Información y comunicaciones;Establecimientos;-;
Chercos;Banca y seguros;Establecimientos;1;
Chercos;Administración pública, educación y sanidad;Establecimientos;3;
Chercos;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;1;
Chercos;TOTAL;Establecimientos;24;
Chirivel;Agricultura, ganadería, silvicultura y pesca;Establecimientos;100;
Chirivel;Industria, energía, agua y gestión de residuos;Establecimientos;2;
Chirivel;Construcción;Establecimientos;17;
Chirivel;Comercio;Establecimientos;25;
Chirivel;Transporte y almacenamiento;Establecimientos;4;
Chirivel;Hostelería;Establecimientos;8;
Chirivel;Información y comunicaciones;Establecimientos;1;
Chirivel;Banca y seguros;Establecimientos;4;
Chirivel;Administración pública, educación y sanidad;Establecimientos;9;
Chirivel;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;16;
Chirivel;TOTAL;Establecimientos;186;
Cóbdar;Agricultura, ganadería, silvicultura y pesca;Establecimientos;2;
Cóbdar;Industria, energía, agua y gestión de residuos;Establecimientos;2;
Cóbdar;Construcción;Establecimientos;3;
Cóbdar;Comercio;Establecimientos;1;
Cóbdar;Transporte y almacenamiento;Establecimientos;-;
Cóbdar;Hostelería;Establecimientos;1;
Cóbdar;Información y comunicaciones;Establecimientos;-;
Cóbdar;Banca y seguros;Establecimientos;1;
Cóbdar;Administración pública, educación y sanidad;Establecimientos;2;
Cóbdar;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;-;
Cóbdar;TOTAL;Establecimientos;12;
Cuevas del Almanzora;Agricultura, ganadería, silvicultura y pesca;Establecimientos;262;
Cuevas del Almanzora;Industria, energía, agua y gestión de residuos;Establecimientos;51;
Cuevas del Almanzora;Construcción;Establecimientos;150;
Cuevas del Almanzora;Comercio;Establecimientos;298;
Cuevas del Almanzora;Transporte y almacenamiento;Establecimientos;105;
Cuevas del Almanzora;Hostelería;Establecimientos;105;
Cuevas del Almanzora;Información y comunicaciones;Establecimientos;9;
Cuevas del Almanzora;Banca y seguros;Establecimientos;31;
Cuevas del Almanzora;Administración pública, educación y sanidad;Establecimientos;70;
Cuevas del Almanzora;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;268;
Cuevas del Almanzora;TOTAL;Establecimientos;1349;
Dalías;Agricultura, ganadería, silvicultura y pesca;Establecimientos;409;
Dalías;Industria, energía, agua y gestión de residuos;Establecimientos;12;
Dalías;Construcción;Establecimientos;28;
Dalías;Comercio;Establecimientos;57;
Dalías;Transporte y almacenamiento;Establecimientos;21;
Dalías;Hostelería;Establecimientos;20;
Dalías;Información y comunicaciones;Establecimientos;2;
Dalías;Banca y seguros;Establecimientos;7;
Dalías;Administración pública, educación y sanidad;Establecimientos;15;
Dalías;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;29;
Dalías;TOTAL;Establecimientos;600;
El Ejido;Agricultura, ganadería, silvicultura y pesca;Establecimientos;7853;
El Ejido;Industria, energía, agua y gestión de residuos;Establecimientos;315;
El Ejido;Construcción;Establecimientos;556;
El Ejido;Comercio;Establecimientos;1938;
El Ejido;Transporte y almacenamiento;Establecimientos;448;
El Ejido;Hostelería;Establecimientos;511;
El Ejido;Información y comunicaciones;Establecimientos;71;
El Ejido;Banca y seguros;Establecimientos;160;
El Ejido;Administración pública, educación y sanidad;Establecimientos;443;
El Ejido;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;1562;
El Ejido;TOTAL;Establecimientos;13857;
Enix;Agricultura, ganadería, silvicultura y pesca;Establecimientos;6;
Enix;Industria, energía, agua y gestión de residuos;Establecimientos;2;
Enix;Construcción;Establecimientos;5;
Enix;Comercio;Establecimientos;3;
Enix;Transporte y almacenamiento;Establecimientos;3;
Enix;Hostelería;Establecimientos;8;
Enix;Información y comunicaciones;Establecimientos;-;
Enix;Banca y seguros;Establecimientos;-;
Enix;Administración pública, educación y sanidad;Establecimientos;4;
Enix;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;11;
Enix;TOTAL;Establecimientos;42;
Felix;Agricultura, ganadería, silvicultura y pesca;Establecimientos;19;
Felix;Industria, energía, agua y gestión de residuos;Establecimientos;4;
Felix;Construcción;Establecimientos;6;
Felix;Comercio;Establecimientos;7;
Felix;Transporte y almacenamiento;Establecimientos;-;
Felix;Hostelería;Establecimientos;5;
Felix;Información y comunicaciones;Establecimientos;-;
Felix;Banca y seguros;Establecimientos;1;
Felix;Administración pública, educación y sanidad;Establecimientos;3;
Felix;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;9;
Felix;TOTAL;Establecimientos;54;
Fines;Agricultura, ganadería, silvicultura y pesca;Establecimientos;10;
Fines;Industria, energía, agua y gestión de residuos;Establecimientos;54;
Fines;Construcción;Establecimientos;32;
Fines;Comercio;Establecimientos;59;
Fines;Transporte y almacenamiento;Establecimientos;16;
Fines;Hostelería;Establecimientos;11;
Fines;Información y comunicaciones;Establecimientos;-;
Fines;Banca y seguros;Establecimientos;7;
Fines;Administración pública, educación y sanidad;Establecimientos;17;
Fines;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;33;
