Territorio;Tipo de centros asistenciales;Medida;Valor;
Bayarque;Otros;Nº centros;1;
Bayarque;Otros;Plazas;30;
Bayarque;Otros;Superficie cubierta;792;
Bayarque;Otros;Superficie aire libre;24;
Bayarque;Otros;Superficie solar;431;
Bayarque;TOTAL;Nº centros;1;
Bayarque;TOTAL;Plazas;30;
Bayarque;TOTAL;Superficie cubierta;792;
Bayarque;TOTAL;Superficie aire libre;24;
Bayarque;TOTAL;Superficie solar;431;
Benahadux;Centro de asistencia social;Nº centros;-;
Benahadux;Centro de asistencia social;Plazas;-;
Benahadux;Centro de asistencia social;Superficie cubierta;-;
Benahadux;Centro de asistencia social;Superficie aire libre;-;
Benahadux;Centro de asistencia social;Superficie solar;-;
Benahadux;Residencia de ancianos;Nº centros;-;
Benahadux;Residencia de ancianos;Plazas;-;
Benahadux;Residencia de ancianos;Superficie cubierta;-;
Benahadux;Residencia de ancianos;Superficie aire libre;-;
Benahadux;Residencia de ancianos;Superficie solar;-;
Benahadux;Guarderías infantiles;Nº centros;2;
Benahadux;Guarderías infantiles;Plazas;89;
Benahadux;Guarderías infantiles;Superficie cubierta;598;
Benahadux;Guarderías infantiles;Superficie aire libre;1156;
Benahadux;Guarderías infantiles;Superficie solar;1754;
Benahadux;Albergues municipales;Nº centros;-;
Benahadux;Albergues municipales;Plazas;-;
Benahadux;Albergues municipales;Superficie cubierta;-;
Benahadux;Albergues municipales;Superficie aire libre;-;
Benahadux;Albergues municipales;Superficie solar;-;
Benahadux;Rehabilitación toxicómanos;Nº centros;-;
Benahadux;Rehabilitación toxicómanos;Plazas;-;
Benahadux;Rehabilitación toxicómanos;Superficie cubierta;-;
Benahadux;Rehabilitación toxicómanos;Superficie aire libre;-;
Benahadux;Rehabilitación toxicómanos;Superficie solar;-;
Benahadux;Otros;Nº centros;1;
Benahadux;Otros;Plazas;40;
Benahadux;Otros;Superficie cubierta;2112;
Benahadux;Otros;Superficie aire libre;0;
Benahadux;Otros;Superficie solar;580;
Benahadux;TOTAL;Nº centros;3;
Benahadux;TOTAL;Plazas;129;
Benahadux;TOTAL;Superficie cubierta;2710;
Benahadux;TOTAL;Superficie aire libre;1156;
Benahadux;TOTAL;Superficie solar;2334;
Berja;Centro de asistencia social;Nº centros;-;
Berja;Centro de asistencia social;Plazas;-;
Berja;Centro de asistencia social;Superficie cubierta;-;
Berja;Centro de asistencia social;Superficie aire libre;-;
Berja;Centro de asistencia social;Superficie solar;-;
Berja;Residencia de ancianos;Nº centros;1;
Berja;Residencia de ancianos;Plazas;140;
Berja;Residencia de ancianos;Superficie cubierta;3616;
Berja;Residencia de ancianos;Superficie aire libre;1723;
Berja;Residencia de ancianos;Superficie solar;3541;
Berja;Guarderías infantiles;Nº centros;3;
Berja;Guarderías infantiles;Plazas;165;
Berja;Guarderías infantiles;Superficie cubierta;1512;
Berja;Guarderías infantiles;Superficie aire libre;1172;
